Rank,Performance,Wind,Athlete,Age,Country,Location,Date
75,10.63,(+3.5),Lee Dollard,32,GBR,"Manchester, GBR",24 Jun 22 - 26 Jun 22
75,10.63,(+1.9),Hassan Saaid,30,MDV,"Malé, MDV",25 Aug 22 - 27 Aug 22
77,10.64,(+0.8),Aaron Stubbs,31,AUS,"Brisbane, AU-QL, AUS",5 Mar 22 - 6 Mar 22
78,10.65,(0.0),Jeremy Dodson,34,SAM,"Meilen, SUI",2 Jul 22
79,10.66,(+1.4),Jason Smyth,34,IRL,"Belfast, GBR",18 Jun 22
79,10.66,(-0.1),Miles Lewis,31,USA,"Carolina, PUR",3 Jun 22 - 5 Jun 22
81,10.67,(-0.8),Ayman Mohammed Ahmed Said,33,EGY,"El Maadi, EGY",27 Mar 22 - 30 Mar 22
81,10.67,(+1.3),Ancuiam Lopes,31,POR,"Lens, FRA",19 Jun 22
83,10.68,(-1.2),Grant Plenderleith,31,GBR,"Celle Ligure, ITA",14 Jun 22
83,10.68,(+0.5),Samuel Osewa,31,GBR,"Wetzlar, GER",11 Jun 22
83,10.68,(+2.4),Kostas Skrabulis,30,LTU,"Valmiera, LAT",29 Jul 22 - 30 Jul 22
86,10.69,(+3.2),Andre Wright,30,GBR,"Manchester, GBR",24 Jun 22 - 26 Jun 22
86,10.69,(2.7 ),Tom Templeton,30,AUS,"Geelong, AU-VI, AUS",17 Dec 22
88,10.70,(-0.1),Gideon Ernst Narib,32,NAM,"St Pierre, MRI",8 Jun 22 - 12 Jun 22
88,10.70,(+1.2),Nathan Gyger,30,SUI,"Ibach, SUI",21 May 22
88,10.70,(+1.1),Melique Garcia,30,HON,"Eugene, OR, USA",15 Jul 22 - 22 Jul 22
91,10.71,(-0.2),Keene Charles Motukisi,31,BOT,"Gaborone, BOT",30 Apr 22
91,10.71,(+2.0),Moise Coulanges,30,FRA,"Montreuil, FRA",19 Jun 22
91,10.71,(+1.8),Jovanni Parkinson,30,USA,"New York, NY, USA",12 Jun 22
94,10.72,(+2.2),Nathan Riali,31,AUS,"Sydney, AU-NS, AUS",30 Mar 22 - 3 Apr 22
95,10.73,(0.1),Charles Jackson,34,USA,"Lexington, KY, USA",28 Jul 22 - 31 Jul 22
95,10.73,(+1.1),Michał Derus,31,POL,"Szczecin, POL",17 Jun 22 - 19 Jun 22
95,10.73,(NWI),Md Ismail,30,BAN,"Dhaka, BAN",23 Dec 22 - 25 Dec 22
95,10.73,(-0.3),Akihiro Chikusa,30,JPN,"Gifu, JPN",23 Sep 22 - 25 Sep 22
99,10.74,(+0.2),Jean Tarcisius Batambock,34,CMR,"Douala, CMR",27 Mar 22
99,10.74,(+1.0),Stephen Dunlop,32,GBR,"Genève, SUI",11 Jun 22
99,10.74,(2.1),Philipp Handler,30,SUI,"Bulle, SUI",9 Jul 22
102,10.75,(+0.7),Seisho Maeda,31,JPN,"Gifu, JPN",23 Sep 22 - 25 Sep 22
103,10.76,(+2.5),Juan Pablo Gutiérrez M.,34,MEX,"Morelia, MEX",2 Jun 22 - 5 Jun 22
103,10.76,"(+0,1)",Øyvind Strømmen Kjerpeset,30,NOR,"Oslo/Bi, NOR",25 Aug 22
105,10.77,(+1.2),Nzelibesse Donaldson Kouassi,34,ITA,"Saronno, ITA",21 May 22 - 22 May 22
105,10.77,(+0.2),Cameron Parker,31,USA,"Nembro, ITA",2 Aug 22
105,10.77,(+1.7),Zoltán István Orosz,30,HUN,"Maribor, SLO",14 Jun 22
108,10.78,(+3.6),Florent Ribet,33,FRA,"Toulon, FRA",9 Jul 22
108,10.78,(+0.4),Dominik Distelberger,32,AUT,"St. Pölten, AUT",25 Jun 22 - 26 Jun 22
108,10.78,(-0.6),D'Angelo Cherry,31,USA,"Miami, FL, USA",28 May 22
108,10.78,(+0.8),Abdullah Iswandi,31,INA,"Semarang, INA",6 Aug 22 - 11 Aug 22
108,10.78,(1.7),Cody Bidlow,30,USA,"Chula Vista, CA, USA",9 Jul 22
108,10.78,(+2.3),Sebastien Lins,30,BEL,"Ninove, BEL",10 Aug 22
108,10.78,(+0.1),Hironiro Nakajima,30,PAR,"Gifu, JPN",23 Sep 22 - 25 Sep 22
115,10.79,(NWI),Pedro Cruz,31,PUR,"Akita, JPN",4 Jun 22 - 5 Jun 22
115,10.79,(-0.1),Alex Beechey,31,CYP,"Limassol, CYP",25 Jun 22 - 26 Jun 22
115,10.79,(+2.9),János Sipos,30,HUN,"Gyor, HUN",10 Sep 22
118,10.80,(+2.7),Jeffrey Julmis,34,HAI,"Miami, FL, USA",23 Apr 22
118,10.80,(+3.0),Anthony Branciforti-Tanefo,30,FRA,"Antony, FRA",28 May 22
120,10.81,(+0.9),Lenyn Kish Leonce,31,LCA,"Le Lorrain, FRA",14 May 22
121,10.82,(0.0),Elvis Kryukov,30,CYP,"Patra, GRE",23 Jul 22 - 24 Jul 22
122,10.83,(+1.6),Hirouki Sato,32,JPN,"Gifu, JPN",23 Sep 22 - 25 Sep 22
123,10.84,(-0.3),Pedro Bernardo,33,POR,"Leiria, POR",25 Jun 22 - 26 Jun 22
123,10.84,(+0.8),Izzet Safer,31,TUR,"Bursa, TUR",11 Jun 22 - 12 Jun 22
125,10.85,(+0.2),Vyacheslav Kolesnichenko,32,RUS,"Cheboksary, RUS",2 Aug 22 - 5 Aug 22
126,10.86,(+3.8),Anilha-Edinho Dermont,31,FRA,"Bordeaux, FRA",1 Jun 22
127,10.87,(+0.9),Tatsuya Hattori,34,JPN,"Gifu, JPN",23 Sep 22 - 25 Sep 22
127,10.87,(+1.3),Kenneth Vuong,31,AUS,"Sydney, AU-NS, AUS",30 Mar 22 - 3 Apr 22
127,10.87,(+1.6),Ilya Shkurenyov,31,RUS,"Cheboksary, RUS",2 Aug 22 - 5 Aug 22
127,10.87,(-0.4),Tumisang Khunou,31,RSA,"Johannesburg, RSA",13 Apr 22
127,10.87,(+3.1),Felix Roussel,30,FRA,"Tomblaine, FRA",12 Jun 22
127,10.87,(+0.1),Nicolas Grimault,30,FRA,"Cognac, FRA",1 May 22
133,10.88,(-0.4),Wendyam-Innocen Bologo,32,BUR,"Lisieux, FRA",29 May 22
133,10.88,(0.6 ),Brandon Smith-Drouin,31,CAN,"Ottawa, ON, CAN",13 Jul 22
133,10.88,(-0.3 ),Marco Martini,31,ITA,"Montebelluna, ITA",13 Jul 22
136,10.89,(NWI),Jason Paris,32,PUR,"Akita, JPN",4 Jun 22 - 5 Jun 22
136,10.89,(+2.4),Massimiliano Ferraro,31,ITA,"Trieste, ITA",28 May 22
138,10.90,(-0.2 ),Roscoe Engel,33,RSA,"Green Point, Cape Town, WC, RSA",28 May 22
138,10.90,(+0.6),Min-Kyun Kim,32,KOR,"Daegu, KOR",19 Apr 22
